"myname","year","cites","pubid","mydate","mypaptit"
"DBChIP",2012,4,"4JMBOYKVnBMC",2015-11-25,"Detecting differential binding of transcription factors with ChIP-seq"
"DBChIP",2013,6,"4JMBOYKVnBMC",2015-11-25,"Detecting differential binding of transcription factors with ChIP-seq"
"DBChIP",2014,12,"4JMBOYKVnBMC",2015-11-25,"Detecting differential binding of transcription factors with ChIP-seq"
"DBChIP",2015,11,"4JMBOYKVnBMC",2015-11-25,"Detecting differential binding of transcription factors with ChIP-seq"
