"myname","year","cites","pubid","mydate","mypaptit"
"peak-motif",2012,10,"2osOgNQ5qMEC",2015-11-25,"RSAT peak-motifs: motif analysis in full-size ChIP-seq datasets"
"peak-motif",2013,23,"2osOgNQ5qMEC",2015-11-25,"RSAT peak-motifs: motif analysis in full-size ChIP-seq datasets"
"peak-motif",2014,30,"2osOgNQ5qMEC",2015-11-25,"RSAT peak-motifs: motif analysis in full-size ChIP-seq datasets"
"peak-motif",2015,16,"2osOgNQ5qMEC",2015-11-25,"RSAT peak-motifs: motif analysis in full-size ChIP-seq datasets"
