"myname","year","cites","pubid","mydate","mypaptit"
"BWA",2009,27,"ufrVoPGSRksC",2015-11-25,"Fast and accurate short read alignment with Burrows–Wheeler transform"
"BWA",2010,175,"ufrVoPGSRksC",2015-11-25,"Fast and accurate short read alignment with Burrows–Wheeler transform"
"BWA",2011,438,"ufrVoPGSRksC",2015-11-25,"Fast and accurate short read alignment with Burrows–Wheeler transform"
"BWA",2012,913,"ufrVoPGSRksC",2015-11-25,"Fast and accurate short read alignment with Burrows–Wheeler transform"
"BWA",2013,1383,"ufrVoPGSRksC",2015-11-25,"Fast and accurate short read alignment with Burrows–Wheeler transform"
"BWA",2014,1931,"ufrVoPGSRksC",2015-11-25,"Fast and accurate short read alignment with Burrows–Wheeler transform"
"BWA",2015,1969,"ufrVoPGSRksC",2015-11-25,"Fast and accurate short read alignment with Burrows–Wheeler transform"
