"myname","year","cites","pubid","mydate","mypaptit"
"MACS",2009,41,"2osOgNQ5qMEC",2015-11-25,"Model-based analysis of ChIP-Seq (MACS)"
"MACS",2010,128,"2osOgNQ5qMEC",2015-11-25,"Model-based analysis of ChIP-Seq (MACS)"
"MACS",2011,229,"2osOgNQ5qMEC",2015-11-25,"Model-based analysis of ChIP-Seq (MACS)"
"MACS",2012,318,"2osOgNQ5qMEC",2015-11-25,"Model-based analysis of ChIP-Seq (MACS)"
"MACS",2013,432,"2osOgNQ5qMEC",2015-11-25,"Model-based analysis of ChIP-Seq (MACS)"
"MACS",2014,573,"2osOgNQ5qMEC",2015-11-25,"Model-based analysis of ChIP-Seq (MACS)"
"MACS",2015,511,"2osOgNQ5qMEC",2015-11-25,"Model-based analysis of ChIP-Seq (MACS)"
