"myname","year","cites","pubid","mydate","mypaptit"
"Bowtie",2009,78,"Tyk-4Ss8FVUC",2015-11-25,"Ultrafast and memory-efficient alignment of short DNA sequences to the human genome"
"Bowtie",2010,308,"Tyk-4Ss8FVUC",2015-11-25,"Ultrafast and memory-efficient alignment of short DNA sequences to the human genome"
"Bowtie",2011,618,"Tyk-4Ss8FVUC",2015-11-25,"Ultrafast and memory-efficient alignment of short DNA sequences to the human genome"
"Bowtie",2012,1116,"Tyk-4Ss8FVUC",2015-11-25,"Ultrafast and memory-efficient alignment of short DNA sequences to the human genome"
"Bowtie",2013,1398,"Tyk-4Ss8FVUC",2015-11-25,"Ultrafast and memory-efficient alignment of short DNA sequences to the human genome"
"Bowtie",2014,1677,"Tyk-4Ss8FVUC",2015-11-25,"Ultrafast and memory-efficient alignment of short DNA sequences to the human genome"
"Bowtie",2015,1503,"Tyk-4Ss8FVUC",2015-11-25,"Ultrafast and memory-efficient alignment of short DNA sequences to the human genome"
