"myname","year","cites","pubid","mydate","mypaptit"
"ChIPpeakAnno",2010,4,"2osOgNQ5qMEC",2015-11-25,"ChIPpeakAnno: a Bioconductor package to annotate ChIP-seq and Chip-chip data"
"ChIPpeakAnno",2011,11,"2osOgNQ5qMEC",2015-11-25,"ChIPpeakAnno: a Bioconductor package to annotate ChIP-seq and Chip-chip data"
"ChIPpeakAnno",2012,19,"2osOgNQ5qMEC",2015-11-25,"ChIPpeakAnno: a Bioconductor package to annotate ChIP-seq and Chip-chip data"
"ChIPpeakAnno",2013,34,"2osOgNQ5qMEC",2015-11-25,"ChIPpeakAnno: a Bioconductor package to annotate ChIP-seq and Chip-chip data"
"ChIPpeakAnno",2014,48,"2osOgNQ5qMEC",2015-11-25,"ChIPpeakAnno: a Bioconductor package to annotate ChIP-seq and Chip-chip data"
"ChIPpeakAnno",2015,37,"2osOgNQ5qMEC",2015-11-25,"ChIPpeakAnno: a Bioconductor package to annotate ChIP-seq and Chip-chip data"
