"myname","year","cites","pubid","mydate","mypaptit"
"CisGenome",2009,43,"d1gkVwhDpl0C",2015-11-25,"An integrated software system for analyzing ChIP-chip and ChIP-seq data"
"CisGenome",2010,105,"d1gkVwhDpl0C",2015-11-25,"An integrated software system for analyzing ChIP-chip and ChIP-seq data"
"CisGenome",2011,117,"d1gkVwhDpl0C",2015-11-25,"An integrated software system for analyzing ChIP-chip and ChIP-seq data"
"CisGenome",2012,91,"d1gkVwhDpl0C",2015-11-25,"An integrated software system for analyzing ChIP-chip and ChIP-seq data"
"CisGenome",2013,90,"d1gkVwhDpl0C",2015-11-25,"An integrated software system for analyzing ChIP-chip and ChIP-seq data"
"CisGenome",2014,66,"d1gkVwhDpl0C",2015-11-25,"An integrated software system for analyzing ChIP-chip and ChIP-seq data"
"CisGenome",2015,43,"d1gkVwhDpl0C",2015-11-25,"An integrated software system for analyzing ChIP-chip and ChIP-seq data"
