"myname","year","cites","pubid","mydate","mypaptit"
"Hpeak",2010,4,"0EnyYjriUFMC",2015-11-25,"HPeak: an HMM-based algorithm for defining read-enriched regions in ChIP-Seq data"
"Hpeak",2011,18,"0EnyYjriUFMC",2015-11-25,"HPeak: an HMM-based algorithm for defining read-enriched regions in ChIP-Seq data"
"Hpeak",2012,14,"0EnyYjriUFMC",2015-11-25,"HPeak: an HMM-based algorithm for defining read-enriched regions in ChIP-Seq data"
"Hpeak",2013,16,"0EnyYjriUFMC",2015-11-25,"HPeak: an HMM-based algorithm for defining read-enriched regions in ChIP-Seq data"
"Hpeak",2014,21,"0EnyYjriUFMC",2015-11-25,"HPeak: an HMM-based algorithm for defining read-enriched regions in ChIP-Seq data"
"Hpeak",2015,13,"0EnyYjriUFMC",2015-11-25,"HPeak: an HMM-based algorithm for defining read-enriched regions in ChIP-Seq data"
