"myname","year","cites","pubid","mydate","mypaptit"
"MAQ",2008,9,"zYLM7Y9cAGgC",2015-11-25,"Mapping short DNA sequencing reads and calling variants using mapping quality scores"
"MAQ",2009,188,"zYLM7Y9cAGgC",2015-11-25,"Mapping short DNA sequencing reads and calling variants using mapping quality scores"
"MAQ",2010,339,"zYLM7Y9cAGgC",2015-11-25,"Mapping short DNA sequencing reads and calling variants using mapping quality scores"
"MAQ",2011,395,"zYLM7Y9cAGgC",2015-11-25,"Mapping short DNA sequencing reads and calling variants using mapping quality scores"
"MAQ",2012,409,"zYLM7Y9cAGgC",2015-11-25,"Mapping short DNA sequencing reads and calling variants using mapping quality scores"
"MAQ",2013,327,"zYLM7Y9cAGgC",2015-11-25,"Mapping short DNA sequencing reads and calling variants using mapping quality scores"
"MAQ",2014,224,"zYLM7Y9cAGgC",2015-11-25,"Mapping short DNA sequencing reads and calling variants using mapping quality scores"
"MAQ",2015,164,"zYLM7Y9cAGgC",2015-11-25,"Mapping short DNA sequencing reads and calling variants using mapping quality scores"
