"myname","year","cites","pubid","mydate","mypaptit"
"Manorm",2012,2,"_FxGoFyzp5QC",2015-11-25,"MAnorm: a robust model for quantitative comparison of ChIP-Seq data sets"
"Manorm",2013,12,"_FxGoFyzp5QC",2015-11-25,"MAnorm: a robust model for quantitative comparison of ChIP-Seq data sets"
"Manorm",2014,18,"_FxGoFyzp5QC",2015-11-25,"MAnorm: a robust model for quantitative comparison of ChIP-Seq data sets"
"Manorm",2015,22,"_FxGoFyzp5QC",2015-11-25,"MAnorm: a robust model for quantitative comparison of ChIP-Seq data sets"
