"myname","year","cites","pubid","mydate","mypaptit"
"MEME-ChIP",2011,4,"IWHjjKOFINEC",2015-11-25,"MEME-ChIP: motif analysis of large DNA datasets"
"MEME-ChIP",2012,40,"IWHjjKOFINEC",2015-11-25,"MEME-ChIP: motif analysis of large DNA datasets"
"MEME-ChIP",2013,70,"IWHjjKOFINEC",2015-11-25,"MEME-ChIP: motif analysis of large DNA datasets"
"MEME-ChIP",2014,90,"IWHjjKOFINEC",2015-11-25,"MEME-ChIP: motif analysis of large DNA datasets"
"MEME-ChIP",2015,100,"IWHjjKOFINEC",2015-11-25,"MEME-ChIP: motif analysis of large DNA datasets"
