"myname","year","cites","pubid","mydate","mypaptit"
"ZINBA",2011,2,"u5HHmVD_uO8C",2015-11-25,"ZINBA integrates local covariates with DNA-seq data to identify broad and narrow regions of enrichment, even within amplified genomic regions"
"ZINBA",2012,15,"u5HHmVD_uO8C",2015-11-25,"ZINBA integrates local covariates with DNA-seq data to identify broad and narrow regions of enrichment, even within amplified genomic regions"
"ZINBA",2013,15,"u5HHmVD_uO8C",2015-11-25,"ZINBA integrates local covariates with DNA-seq data to identify broad and narrow regions of enrichment, even within amplified genomic regions"
"ZINBA",2014,29,"u5HHmVD_uO8C",2015-11-25,"ZINBA integrates local covariates with DNA-seq data to identify broad and narrow regions of enrichment, even within amplified genomic regions"
"ZINBA",2015,14,"u5HHmVD_uO8C",2015-11-25,"ZINBA integrates local covariates with DNA-seq data to identify broad and narrow regions of enrichment, even within amplified genomic regions"
