"myname","year","cites","pubid","mydate","mypaptit"
"SPP",2009,22,"YsMSGLbcyi4C",2015-11-25,"Design and analysis of ChIP-seq experiments for DNA-binding proteins"
"SPP",2010,46,"YsMSGLbcyi4C",2015-11-25,"Design and analysis of ChIP-seq experiments for DNA-binding proteins"
"SPP",2011,45,"YsMSGLbcyi4C",2015-11-25,"Design and analysis of ChIP-seq experiments for DNA-binding proteins"
"SPP",2012,57,"YsMSGLbcyi4C",2015-11-25,"Design and analysis of ChIP-seq experiments for DNA-binding proteins"
"SPP",2013,62,"YsMSGLbcyi4C",2015-11-25,"Design and analysis of ChIP-seq experiments for DNA-binding proteins"
"SPP",2014,89,"YsMSGLbcyi4C",2015-11-25,"Design and analysis of ChIP-seq experiments for DNA-binding proteins"
"SPP",2015,59,"YsMSGLbcyi4C",2015-11-25,"Design and analysis of ChIP-seq experiments for DNA-binding proteins"
