"myname","year","cites","pubid","mydate","mypaptit"
"SIPeS",2010,6,"TIZ-Mc8IlK0C",2015-11-25,"An effective approach for identification of in vivo protein-DNA binding sites from paired-end ChIP-Seq data"
"SIPeS",2011,4,"TIZ-Mc8IlK0C",2015-11-25,"An effective approach for identification of in vivo protein-DNA binding sites from paired-end ChIP-Seq data"
"SIPeS",2012,5,"TIZ-Mc8IlK0C",2015-11-25,"An effective approach for identification of in vivo protein-DNA binding sites from paired-end ChIP-Seq data"
"SIPeS",2013,4,"TIZ-Mc8IlK0C",2015-11-25,"An effective approach for identification of in vivo protein-DNA binding sites from paired-end ChIP-Seq data"
"SIPeS",2014,5,"TIZ-Mc8IlK0C",2015-11-25,"An effective approach for identification of in vivo protein-DNA binding sites from paired-end ChIP-Seq data"
"SIPeS",2015,2,"TIZ-Mc8IlK0C",2015-11-25,"An effective approach for identification of in vivo protein-DNA binding sites from paired-end ChIP-Seq data"
