"myname","year","cites","pubid","mydate","mypaptit"
"SOAP2",2009,10,"u5HHmVD_uO8C",2015-11-25,"SOAP2: an improved ultrafast tool for short read alignment"
"SOAP2",2010,87,"u5HHmVD_uO8C",2015-11-25,"SOAP2: an improved ultrafast tool for short read alignment"
"SOAP2",2011,162,"u5HHmVD_uO8C",2015-11-25,"SOAP2: an improved ultrafast tool for short read alignment"
"SOAP2",2012,297,"u5HHmVD_uO8C",2015-11-25,"SOAP2: an improved ultrafast tool for short read alignment"
"SOAP2",2013,335,"u5HHmVD_uO8C",2015-11-25,"SOAP2: an improved ultrafast tool for short read alignment"
"SOAP2",2014,394,"u5HHmVD_uO8C",2015-11-25,"SOAP2: an improved ultrafast tool for short read alignment"
"SOAP2",2015,323,"u5HHmVD_uO8C",2015-11-25,"SOAP2: an improved ultrafast tool for short read alignment"
