"myname","year","cites","pubid","mydate","mypaptit"
"CHANCE",2012,2,"rO6llkc54NcC",2015-11-25,"CHANCE: comprehensive software for quality control and validation of ChIP-seq data"
"CHANCE",2013,3,"rO6llkc54NcC",2015-11-25,"CHANCE: comprehensive software for quality control and validation of ChIP-seq data"
"CHANCE",2014,5,"rO6llkc54NcC",2015-11-25,"CHANCE: comprehensive software for quality control and validation of ChIP-seq data"
"CHANCE",2015,7,"rO6llkc54NcC",2015-11-25,"CHANCE: comprehensive software for quality control and validation of ChIP-seq data"
